Measures
atan2 beta 126.869900 val :0.000000 
atan2 beta 125.753889 val :0.000000 
atan2 beta -124.215704 val :0.000000 
atan2 beta -125.311216 val :0.000000 
atan2 beta -126.469237 val :0.000000 
atan2 beta -127.694243 val :0.000000 
atan2 beta -128.990996 val :0.000000 
atan2 beta -130.364539 val :0.000000 
atan2 beta -131.820172 val :0.000000 
atan2 beta -133.363425 val :0.000000 
atan2 beta -135.000002 val :0.000000 
atan2 beta -136.735707 val :0.000000 
atan2 beta -138.576337 val :0.000000 
atan2 beta -140.527543 val :0.000000 
atan2 beta -142.594646 val :0.000000 
atan2 beta -144.782410 val :0.000000 
atan2 beta -147.094760 val :0.000000 
atan2 beta -149.534458 val :0.000000 
atan2 beta -152.102732 val :0.000000 
atan2 beta -154.798879 val :0.000000 
atan2 beta -157.619868 val :0.000000 
atan2 beta -160.559968 val :0.000000 
atan2 beta -163.610462 val :0.000000 
atan2 beta -166.759483 val :0.000000 
atan2 beta -169.992023 val :0.000000 
atan2 beta -173.290166 val :0.000000 
atan2 beta -176.633542 val :0.000000 
atan2 beta 180.000003 val :0.000000 
atan2 beta 176.633542 val :0.000000 
atan2 beta 173.290166 val :0.000000 
atan2 beta 169.992023 val :0.000000 
atan2 beta 166.759483 val :0.000000 
atan2 beta 163.610462 val :0.000000 
atan2 beta 160.559968 val :0.000000 
atan2 beta 157.619868 val :0.000000 
atan2 beta 154.798879 val :0.000000 
atan2 beta 152.102732 val :0.000000 
atan2 beta 149.534458 val :0.000000 
atan2 beta 147.094760 val :0.000000 
atan2 beta 144.782410 val :0.000000 
atan2 beta 142.594646 val :0.000000 
atan2 beta 140.527543 val :0.000000 
atan2 beta 138.576337 val :0.000000 
atan2 beta 136.735707 val :0.000000 
atan2 beta 135.000002 val :0.000000 
atan2 beta 133.363425 val :0.000000 
atan2 beta 131.820172 val :0.000000 
atan2 beta 130.364539 val :0.000000 
atan2 beta 128.990996 val :0.000000 
atan2 beta 127.694243 val :0.000000 
atan2 beta 126.469237 val :0.000000 
atan2 beta 125.311216 val :0.000000 
atan2 beta 124.215704 val :0.000000 
atan2 beta -122.619245 val :0.000000 
atan2 beta -123.690070 val :0.000000 
atan2 beta -124.824491 val :0.000000 
atan2 beta -126.027376 val :0.000000 
atan2 beta -127.303950 val :0.000000 
atan2 beta -128.659810 val :0.000000 
atan2 beta -130.100910 val :0.000000 
atan2 beta -131.633542 val :0.000000 
atan2 beta -133.264298 val :0.000000 
atan2 beta -135.000002 val :0.000000 
atan2 beta -136.847613 val :0.000000 
atan2 beta -138.814077 val :0.000000 
atan2 beta -140.906144 val :0.000000 
atan2 beta -143.130105 val :0.000000 
atan2 beta -145.491479 val :0.000000 
atan2 beta -147.994619 val :0.000000 
atan2 beta -150.642249 val :0.000000 
atan2 beta -153.434951 val :0.000000 
atan2 beta -156.370625 val :0.000000 
atan2 beta -159.443958 val :0.000000 
atan2 beta -162.645978 val :0.000000 
atan2 beta -165.963759 val :0.000000 
atan2 beta -169.380348 val :0.000000 
atan2 beta -172.874987 val :0.000000 
atan2 beta -176.423669 val :0.000000 
atan2 beta 180.000003 val :0.000000 
atan2 beta 176.423669 val :0.000000 
atan2 beta 172.874987 val :0.000000 
atan2 beta 169.380348 val :0.000000 
atan2 beta 165.963759 val :0.000000 
atan2 beta 162.645978 val :0.000000 
atan2 beta 159.443958 val :0.000000 
atan2 beta 156.370625 val :0.000000 
atan2 beta 153.434951 val :0.000000 
atan2 beta 150.642249 val :0.000000 
atan2 beta 147.994619 val :0.000000 
atan2 beta 145.491479 val :0.000000 
atan2 beta 143.130105 val :0.000000 
atan2 beta 140.906144 val :0.000000 
atan2 beta 138.814077 val :0.000000 
atan2 beta 136.847613 val :0.000000 
atan2 beta 135.000002 val :0.000000 
atan2 beta 133.264298 val :0.000000 
atan2 beta 131.633542 val :0.000000 
atan2 beta 130.100910 val :0.000000 
atan2 beta 128.659810 val :0.000000 
atan2 beta 127.303950 val :0.000000 
atan2 beta 126.027376 val :0.000000 
atan2 beta 124.824491 val :0.000000 
atan2 beta 123.690070 val :0.000000 
atan2 beta 122.619245 val :0.000000 
atan2 beta -120.963759 val :0.000000 
atan2 beta -122.005385 val :0.000000 
atan2 beta -123.111344 val :0.000000 
atan2 beta -124.286879 val :0.000000 
atan2 beta -125.537680 val :0.000000 
atan2 beta -126.869900 val :0.000000 
atan2 beta -128.290165 val :0.000000 
atan2 beta -129.805573 val :0.000000 
atan2 beta -131.423668 val :0.000000 
atan2 beta -133.152392 val :0.000000 
atan2 beta -135.000002 val :0.000000 
atan2 beta -136.974936 val :0.000000 
atan2 beta -139.085619 val :0.000000 
atan2 beta -141.340194 val :0.000000 
atan2 beta -143.746165 val :0.000000 
atan2 beta -146.309935 val :0.000000 
atan2 beta -149.036246 val :0.000000 
atan2 beta -151.927516 val :0.000000 
atan2 beta -154.983109 val :0.000000 
atan2 beta -158.198593 val :0.000000 
atan2 beta -161.565054 val :0.000000 
atan2 beta -165.068586 val :0.000000 
atan2 beta -168.690070 val :0.000000 
atan2 beta -172.405360 val :0.000000 
atan2 beta -176.185928 val :0.000000 
atan2 beta 180.000003 val :0.000000 
atan2 beta 176.185928 val :0.000000 
atan2 beta 172.405360 val :0.000000 
atan2 beta 168.690070 val :0.000000 
atan2 beta 165.068586 val :0.000000 
atan2 beta 161.565054 val :0.000000 
atan2 beta 158.198593 val :0.000000 
atan2 beta 154.983109 val :0.000000 
atan2 beta 151.927516 val :0.000000 
atan2 beta 149.036246 val :0.000000 
atan2 beta 146.309935 val :0.000000 
